,37F-OL15R1_FitzroyOil15R1,38F-OL30R1_FitzroyOil30R1,39F-OL45R1_FitzroyOil45R1,40F-OL15R2_FitzroyOil15R2,41F-OL30R2_FitzroyOil30R2,42F-OL45R2_FitzroyOil45R2,43F-OL15R3_FitzroyOil15R3,44F-OL30R3_FitzroyOil30R3,45F-OL45R3_FitzroyOil45R3,46F-Ct15R1_FitzroyControl15R1,47F-Ct30R1_FitzroyControl30R1,48F-Ct45R1_FitzroyControl45R1,49F-Ct15R2_FitzroyControl15R2,50F-Ct30R2_FitzroyControl30R2,51F-Ct45R2_FitzroyControl45R2,52F-Ct15R3_FitzroyControl15R3,53F-Ct30R3_FitzroyControl30R3,54F-Ct45R3_FitzroyControl45R3,55C-OL15R1_CambalinOil15R1,56C-OL30R1_CambalinOil30R1,57C-OL45R1_CambalinOil45R1,58C-OL15R2_CambalinOil15R2,59C-OL30R2_CambalinOil30R2,60C-OL45R2_CambalinOil45R2,61C-OL15R3_CambalinOil15R3,62C-OL30R3_CambalinOil30R3,63C-OL45R3_CambalinOil45R3,64C-Ct15R1_CambalinControl15R1,65C-Ct30R1_CambalinControl30R1,66C-Ct45R1_CambalinControl45R1,67C-Ct15R2_CambalinControl15R2,68C-Ct30R2_CambalinControl30R2,69C-Ct45R2_CambalinControl45R2,70C-Ct15R3_CambalinControl15R3,71C-Ct30R3_CambalinControl30R3,72C-Ct45R3_CambalinControl45R3,73K-OL15R1_KununurraOil15R1,74K-OL30R1_KununurraOil30R1,75K-OL45R1_KununurraOil45R1,76K-OL15R2_KununurraOil15R2,77K-OL30R2_KununurraOil30R2,78K-OL45R2_KununurraOil45R2,79K-OL15R3_KununurraOil15R3,80K-OL30R3_KununurraOil30R3,81K-OL45R3_KununurraOil45R3,82K-Ct15R1_KununurraControl15R1,83K-Ct30R1_KununurraControl30R1,84K-Ct45R1_KununurraControl45R1,85K-Ct15R2_KununurraControl15R2,86K-Ct30R2_KununurraControl30R2,87K-Ct45R2_KununurraControl45R2,88K-Ct15R3_KununurraControl15R3,89K-Ct30R3_KununurraControl30R3,90K-Ct45R3_KununurraControl45R3
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;__,0.040805103,0.041060535,0.036051026,0.031674208,0.040138323,0.028474576,0,0,0,0,0,0,0.055513595,0,0,0,0.019528072,0,0.016115942,0.01508793,0,0.056928451,0.015480861,0,0.036490297,0.019473464,0.008628358,0.032333463,0,0,0.011442337,0.008362614,0,0,0,0.045144804,0.003520496,0.009946583,0.056676028,0.050735612,0.043597637,0,0.005304638,0.002915452,0.005564549,0.010029914,0.004835836,0.005730381,0.014586372,0,0,0.00360262,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006423768,0.012930429,0.078327444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008013576,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;__,0.00549934,0.00437979,0,0.152966315,0,0.001525424,0,0.008822653,0.015191263,0,0,0,0,0,0,0.02893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001889201,0,0.008486563,0.00177182,7.58E-05,0.002644247,0.002276406,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Mizugakiibacter;s__uncultured_gamma,0,0,0,0,0,0,0,0.02342772,0.003599536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033696647,0.036052692,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;__;__;__,0.019027717,0.034412639,0.017114333,0,0.017413857,0,0,0,0,0,0,0,0.083459215,0.002600217,0.034820209,0,0,0,0.035014493,0,0,0,0,0,0,0,0,0,0,0,0.001104085,0,0,0.001998002,0.023434992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014612991,0,0.002093203,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae;g__Nevskia;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001225428,0,0.070804559,0.034357908,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__uncultured;f__uncultured;g__uncultured;s__uncultured_Acetobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035598047,0.027202073,0,0,0,0.037262259,0.023327325,0.00916056,0.041632111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008193445,0.000180505,0,0,0,0,0.053823652,0.042163316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085;g__S085;__,0,0.020569373,0,0,0.025194516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016172855,0.016965327,0.00799467,0,0.019139156,0,0,0,0,0,0,0,0,0,0,0.020227937,0.020077362,0,0,0,0,0.012276447,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__;__;__,0,0,0,0,0,0.008644068,0.004512975,0,0,0,0,0,0,0,0,0,0,0,0.000231884,0.018485212,0.079783394,0,0,0,0,0,0.000177904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003959649,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;__,0.024527057,0.014781793,0,0,0,0.010677966,0,0,0,0,0,0,0,0.014084507,0,0,0.02441009,0.023963731,0.020057971,0.011390887,0,0.063397593,0.042519351,0.024233844,0.048764306,0.033347263,0,0.083365797,0,0,0,0,0,0,0.03788122,0,0,0,0,0,0,0.001386642,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.038519637,0,0.01183432,0.007234043,0,0,0.000811594,0,0,0,0,0,0,0,0,0.023373588,0,0.017291956,0.001806685,0,0,0.123043623,0,0,0,0,0,0,0,0,0,0,0,0.066866092,0.05726648,0,0,0.004848485,0.002922598,0.007041485,0.03437259,0.010688102
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;__,0.008139023,0,0,0,0,0.019576271,0,0.038748137,0.051552681,0,0,0,0,0,0,0.016595745,0,0.020854922,0,0,0,0.011773839,0.012830029,0,0,0.008524864,0,0.017140631,0.050490884,0,0,0,0,0.005994006,0,0,0,0,0,0,0,0,0,0.008746356,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriales;g__Acidobacteriales;s__uncultured_bacterium,0,0.018457688,0,0,0,0.008898305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004996,0,0.006598525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058881316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96;__,0,0.004458001,0.005704778,0,0,0,0,0,0,0,0,0,0,0,0,0.024680851,0,0.019430052,0,0,0,0.000258766,0,0,0,0,0,0,0,0,0,0.004216444,0.005742049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021671181,0.031955923,0.013764495,0.009388646,0.029415005,0
d__Bacteria;__;__;__;__;__;__,0.005609327,0,0,0,0.008645177,0.008389831,0.006769462,0.002563338,0.002379355,0,0,0,0,0.010617551,0,0.016170213,0,0.000259067,0.004985507,0.024980016,0.000631769,0,0.005195631,0.012658228,0,0.001420811,0.001156378,0,0,0,0,0.000140548,0.005594817,0,0.010914928,0,0.056029596,0.010744766,0,0.027044569,0,0.003081427,0.040012125,0.001017018,0.034044921,0.006510646,0.016034614,0.003690754,0.004375912,0.016639118,0.018666918,0,0.017516801,0.006448194
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured;s__uncultured_actinobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021761658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049403748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062411615,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured;g__uncultured;s__uncultured_Alphaproteobacteria,0,0,0,0,0,0,0,0.050909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002847651,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured;__,0,0,0.018144363,0,0.016178832,0.012372881,0,0.019433681,0.041730218,0,0.047887324,0,0.056646526,0,0.071688666,0.044680851,0.032343369,0.043523316,0.006724638,0,0,0.061456851,0.021736825,0,0.029358103,0.02766402,0.025440313,0,0.026928471,0.017291956,0,0,0,0.017149517,0,0.141396934,0,0,0,0,0,0,0,0.005424097,0.009257386,0.063698751,0.042122678,0.01961927,0.001041884,0,0.005468087,0.003111354,0.016304947,0.008303153
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001669365,0,0,0,0,0,0,0.045087336,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115744508,0.042357513,0,0,0,0,0.013148129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010562484,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__,0,0.002659158,0,0.0057818,0,0,0.085088379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__uncultured;__,0,0,0,0,0,0.012033898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047674515,0.060087821,0,0,0.000556455,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;s__uncultured_bacterium,0,0.024167058,0.016638935,0,0,0.020677966,0,0,0,0,0.075117371,0,0,0.0156013,0.013199818,0,0.019324654,0.014378238,0,0,0,0,0,0.029230513,0.014927849,0.050898454,0.00747198,0,0.01654979,0.020225413,0,0,0,0.001998002,0,0,0,0,0,0,0,0,0,0,0,0,0.016289132,0,0,0,0.00857924,0,0.024126914,0.009274799
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000910332,0,0,0,0,0.00039968,0,0,0,0,0,0,0,0,0,0,0,0.018903725,0.036439929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000509035,0.002622378,0.000416753,0.000661157,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__uncultured_bacterium,0,0,0,0,0,0.013050847,0,0.019433681,0.026111891,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003711165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339006,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Candidatus_Xiphinematobacter;s__uncultured_soil,0,0,0,0,0,0.009745763,0.030180519,0.029508197,0.011164664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured;s__uncultured_Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01056057,0.007812101,0,0,0,0.007805396,0.020814971,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25;s__uncultured_Syntrophobacterales,0.055763308,0,0.03248554,0.008169935,0,0,0,0.011743666,0.009090354,0,0,0,0,0,0,0,0,0,0,0,0,0.018501747,0,0,0,0,0,0,0,0.009572333,0,0,0,0,0,0,0.006503968,0.01283232,0.010058718,0.034400692,0.036608703,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Chujaibacter;s__uncultured_gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060010785,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006162558,0,0,0,0,0,0.004786166,0.145939978,0.242586086,0.207229093,0,0,0,0,0,0,0.008005193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047031375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Mizugakiibacter;__,0,0,0,0,0,0,0.001880406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054413845,0.021955165,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__uncultured;__,0.013638363,0.019943688,0.015054275,0,0,0,0,0.006497765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01410273,0.008588697,0,0.009454304,0.006602591,0,0,0,0,0,0,0,0,0,0,0,0,0.020117437,0.008005193,0,0.005854711,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;__;__;__;__,0,0,0.051897631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140548,0,0,0,0,0,0,0,0,0,0.003466605,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae;g__Entotheonellaceae;s__uncultured_bacterium,0,0.008837791,0.031534744,0,0,0.018813559,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0.014956522,0.03167466,0,0,0,0.001249167,0,0,0,0,0.016269285,0,0,0,0,0.032301032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010355844,0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14;__,0.011878575,0,0.000871563,0,0.017290354,0.00220339,0.010154193,0.021818182,0.0127509,0.032634833,0,0,0.074018127,0.025352113,0,0.057446809,0,0.016062176,0,0,0,0,0,0.002081945,0,0.009193481,0.004536559,0.055707051,0,0,0.017163505,0.002600141,0,0.068598069,0,0,0.021480995,0,0,0.003678061,0,0,0,0,0,0.015132852,0.018452532,0,0.043342363,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia;__,0,0,0.005863244,0,0,0,0,0,0,0,0,0,0,0,0,0.03787234,0,0.016062176,0,0,0,0,0,0,0,0,0,0,0.050210379,0.00941794,0.011341965,0,0,0.025641026,0.019903692,0,0,0,0,0,0,0,0,0,0,0,0,0.016899767,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured;__,0.005609327,0.012748318,0.009191031,0.014957265,0,0.003728814,0,0,0,0,0,0,0,0,0.072598999,0,0.031936534,0.066968912,0,0.017186251,0,0,0,0,0.006634599,0.004847472,0,0.024152707,0,0.041222788,0.006122654,0.001827126,0,0,0.014125201,0,0.079599021,0.032909683,0.013786061,0.002596279,0,0,0.008638982,0,0.008144476,0,0,0,0.008543447,0.010798898,0.015650042,0.003002183,0,0.018196272
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66;s__uncultured_bacterium,0.001649802,0.008055686,0.036526424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002797834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045885793,0.028611776,0.003216748,0,0,0,0.035541073,0,0,0,0,0,0,0,0,0,0.005288091,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodoplanes;__,0,0,0.008953332,0,0,0.006949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009392486,0.005595668,0,0.018237727,0.022151899,0,0.014876724,0.003202277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013112948,0.012915999,0,0.011788036,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacteraceae;s__uncultured_Alphaproteobacteria,0,0,0,0,0,0,0,0,0.002562382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053460238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__MBNT15;s__uncultured_Desulfuromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046724381,0.007046209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;__;__,0.018147822,0.011653371,0,0.064353947,0.027047054,0,0.023223016,0.008822653,0.008358245,0.000687049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012230635,0.029581696,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;__,0.020677519,0,0,0,0,0.015254237,0.047104175,0.049538003,0.027332072,0,0,0,0,0,0.022758307,0,0,0,0,0,0.029602888,0.016561004,0,0,0,0,0.018946807,0,0,0.023004477,0,0,0,0,0,0,0,0,0.018381414,0.012873215,0,0,0,0.014712862,0,0,0,0,0.025005209,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured;__,0,0.009463476,0.024799937,0,0.065332839,0,0,0.0004769,0.0187908,0,0,0,0,0,0.009103323,0,0,0,0.006724638,0.006794564,0.050722022,0.044895847,0.023221291,0.048467688,0.007298059,0.011867948,0.057729941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006305512,0.009459733,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033099579,0.016519994,0.013750878,0.007449051,0.008465842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__uncultured_Nitrospiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007737824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077505018,0,0,0,0,0,0,0,0,0,0,0,0,0.001288269,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__uncultured;f__uncultured;g__uncultured;s__uncultured_bacterium,0.025186978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055603635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Sulfurifustis;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006026613,0,0.002093439,0,0.006739329,0.003312534,0,0.02698488,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured;__,0,0,0,0,0,0,0,0,0,0,0,0,0.032477341,0,0,0,0,0.009326425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146388443,0.213798978,0,0,0,0,0,0,0,0,0,0,0,0.001748252,0,0,0.009427736,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae;g__Candidatus_Alysiosphaera;__,0,0.022759268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027041014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured;g__uncultured;s__uncultured_Acidobacteria,0,0.019318004,0.054908486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__uncultured_organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029565217,0.01598721,0,0,0,0,0.013766794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2;s__uncultured_Acidobacteria,0,0,0.028365423,0,0,0,0,0,0.022451345,0,0,0,0,0,0,0,0,0,0,0,0.017960289,0,0.016647227,0.013574284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000474608,0.000809389,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Symbiobacteriia;o__Symbiobacteriales;f__Symbiobacteraceae;g__uncultured;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010029914,0,0,0,0,0,0.051037118,0.014652418,0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured;s__uncultured_proteobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.057401813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033022182,0,0,0,0.051685393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured;g__uncultured;s__uncultured_bacterium,0.042564892,0,0.004120117,0,0.025318019,0,0,0,0,0,0,0,0,0,0.007510241,0,0,0,0.012289855,0,0,0.03868547,0,0,0.035826837,0.006769745,0,0,0,0,0,0,0,0,0,0,0,0,0.00199132,0,0,0.000693321,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062564767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002926953,0,0,0,0,0,0.033050567,0.000883314
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25;s__uncultured_bacterium,0,0.000156421,0.00158466,0,0,0,0,0,0.002501373,0,0,0,0,0,0,0,0,0.015025907,0,0,0.008483755,0,0,0.000582945,0,0,0,0,0,0.037362977,0,0,0.004785041,0,0,0,0.004117191,0.001412169,0.000714833,0.048463868,0.010233796,0,0.006289785,0,0,0,0,0,0,0,0.031300085,0,0,0.013161382
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;__;__;__,0.067641883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01834376,0,0,0,0,0,0,0,0,0.002810963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__uncultured;s__uncultured_Acidobacteriaceae,0.009898812,0.010949476,0.003644719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01319705,0.004665465,0,0.015591309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
