,37F-OL15R1_FitzroyOil15R1,38F-OL30R1_FitzroyOil30R1,39F-OL45R1_FitzroyOil45R1,40F-OL15R2_FitzroyOil15R2,41F-OL30R2_FitzroyOil30R2,42F-OL45R2_FitzroyOil45R2,43F-OL15R3_FitzroyOil15R3,44F-OL30R3_FitzroyOil30R3,45F-OL45R3_FitzroyOil45R3,46F-Ct15R1_FitzroyControl15R1,47F-Ct30R1_FitzroyControl30R1,48F-Ct45R1_FitzroyControl45R1,49F-Ct15R2_FitzroyControl15R2,50F-Ct30R2_FitzroyControl30R2,51F-Ct45R2_FitzroyControl45R2,52F-Ct15R3_FitzroyControl15R3,53F-Ct30R3_FitzroyControl30R3,54F-Ct45R3_FitzroyControl45R3,55C-OL15R1_CambalinOil15R1,56C-OL30R1_CambalinOil30R1,57C-OL45R1_CambalinOil45R1,58C-OL15R2_CambalinOil15R2,59C-OL30R2_CambalinOil30R2,60C-OL45R2_CambalinOil45R2,61C-OL15R3_CambalinOil15R3,62C-OL30R3_CambalinOil30R3,63C-OL45R3_CambalinOil45R3,64C-Ct15R1_CambalinControl15R1,65C-Ct30R1_CambalinControl30R1,66C-Ct45R1_CambalinControl45R1,67C-Ct15R2_CambalinControl15R2,68C-Ct30R2_CambalinControl30R2,69C-Ct45R2_CambalinControl45R2,70C-Ct15R3_CambalinControl15R3,71C-Ct30R3_CambalinControl30R3,72C-Ct45R3_CambalinControl45R3,73K-OL15R1_KununurraOil15R1,74K-OL30R1_KununurraOil30R1,75K-OL45R1_KununurraOil45R1,76K-OL15R2_KununurraOil15R2,77K-OL30R2_KununurraOil30R2,78K-OL45R2_KununurraOil45R2,79K-OL15R3_KununurraOil15R3,80K-OL30R3_KununurraOil30R3,81K-OL45R3_KununurraOil45R3,82K-Ct15R1_KununurraControl15R1,83K-Ct30R1_KununurraControl30R1,84K-Ct45R1_KununurraControl45R1,85K-Ct15R2_KununurraControl15R2,86K-Ct30R2_KununurraControl30R2,87K-Ct45R2_KununurraControl45R2,88K-Ct15R3_KununurraControl15R3,89K-Ct30R3_KununurraControl30R3,90K-Ct45R3_KununurraControl45R3
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25;__,0,0.001955264,0.001109262,0,0,0.014322034,0,0.004649776,0.002440364,0,0,0,0.022280967,0,0,0,0,0,0.034202899,0.076239009,0.029512635,0.094449476,0.062559644,0.026399067,0.102504561,0.077058086,0.0124533,0,0,0,0,0,0,0.005661006,0.013162119,0,0.008532729,0.012463928,0.001736022,0.15015145,0.008736168,0,0.044180055,0,0.001467017,0,0.003435989,0,0,0.004297521,0,0,0.019059161,0
d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136;g__Gitt-GS-136;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0.018893851,0,0,0,0.003900325,0.005006827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027208976,0.005403736,0,0,0,0,0.007383628,0,0.124410764,0.049057531,0.010109778,0.007680658,0,0,0.088814792,0.010237982,0.005766896,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;__;__;__,0,0,0,0,0.000247005,0.008305085,0,0.032727273,0.032578854,0,0,0,0,0,0,0,0,0,0,0.01548761,0,0,0.02608419,0.06095936,0,0.08416214,0.280110301,0,0,0,0,0,0,0,0,0,0,0.003561122,0.005003829,0,0,0,0,0,0,0,0,0,0.007501563,0,0,0,0,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24;s__uncultured_bacterium,0.03541575,0.005865791,0.001743127,0,0,0,0,0.014962742,0.003111464,0,0,0,0,0,0,0,0.009153784,0,0.02226087,0.010191847,0,0,0.003817199,0,0,0,0,0,0,0,0,0,0,0.027972028,0.016372392,0,0.019332896,0.029287162,0.006841971,0.115426222,0,0.002388106,0.014246741,0.140958709,0.108711048,0.022523315,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Ammoniphilus;s__uncultured_bacterium,0,0.004927264,0,0,0.014943806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006329114,0,0,0,0.020646669,0,0,0.028906956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053418803,0.128360075,0.051460055,0.040822099,0.313045852,0.016415115,0.016694638
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured;__,0,0.008290318,0.00419935,0,0,0,0,0,0,0,0,0,0.028323263,0.273672806,0.312016386,0,0.195077299,0.195466321,0.010434783,0,0.012184116,0.065726485,0.041034885,0.034227182,0.044285951,0.197492687,0.067781534,0,0.154558205,0.117801451,0,0,0.055506478,0.077755578,0.137399679,0,0,0,0,0,0,0,0,0,0,0.014428999,0.013616696,0,0.015211502,0.005730028,0.054398039,0.004203057,0,0.055560463
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_celatum,0,0,0,0,0,0,0,0.145692996,0.093831981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083534404,0.004236962,0.002652319,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter;__,0.085129784,0.110824339,0.14436257,0.110356963,0.024329999,0.165677966,0.010060173,0.112786885,0.094930145,0.018893851,0,0,0,0,0.056895767,0,0,0,0.012521739,0.001798561,0,0,0.016965327,0.011075949,0,0,0,0,0.010098177,0.018372703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021819462,0,0,0.00833507,0,0,0,0,0.001589966
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__uncultured;__,0,0.01439074,0.011171856,0.021995978,0.02000741,0.011355932,0,0.008107303,0.0174486,0,0,0,0,0,0,0,0,0,0.020753623,0.020683453,0.018411552,0.023159529,0.020782526,0.009660227,0.027035993,0.020225658,0.011741683,0,0,0,0,0,0,0,0,0,0.010800167,0.009762387,0.005871841,0,0,0,0,0,0.00475516,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96;s__uncultured_Chloroflexi,0.015508139,0.050758642,0.037873386,0,0,0.01220339,0,0,0,0,0,0,0,0,0,0,0,0,0.00915942,0,0,0.009703713,0.013572262,0,0.010781224,0.009109904,0.003291229,0.023373588,0,0,0,0,0,0.021145521,0,0,0,0.018910788,0.014041358,0,0,0,0.028948166,0,0,0,0,0,0,0,0,0.006713974,0,0.00123664
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus;s__uncultured_bacterium,0.034425869,0,0,0.220713927,0,0,0.137551711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016767633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66;__,0,0,0,0,0,0.023220339,0,0,0,0,0,0,0,0.003900325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098991587,0.032602689,0,0,0,0,0.052212792,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0.024733768,0.102347418,0,0,0,0.046426946,0,0,0.015673575,0,0,0,0,0,0,0,0,0,0,0.044600281,0.01003551,0.015758306,0.001686578,0,0.116716617,0.054574639,0,0,0,0,0,0,0,0,0,0,0,0,0.016317016,0.058553865,0.032837466,0.014235882,0,0.059491021,0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__RB41;__,0,0,0.024958403,0,0.036803754,0,0,0,0,0,0,0,0.084969789,0.018418202,0,0,0,0,0.144,0.20293765,0,0.079311683,0,0,0,0.001170079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25;s__uncultured_soil,0,0.017049898,0,0,0.034827714,0.013135593,0,0,0,0,0,0,0,0,0,0,0,0,0.022724638,0.017985612,0.053249097,0.009962479,0.038702152,0.02056962,0,0,0.014588152,0,0,0,0,0,0,0,0,0,0.039083478,0.096764291,0.117538933,0,0,0,0.007729615,0.012000814,0.029896803,0,0.020488674,0,0,0.004407713,0,0,0,0
